User Href,Title,Rating,Date,Likes,Comments,Review
https://www.goodreads.com/user/show/57797254-cindy,All Boys Aren’t Blue,Rating 4 out of 5,"June 14, 2020",862 likes,1 comment,"Update: Changing my GR rating to 4 stars because I'm trying to keep my goodreads more consistent to my personal impressions rather than what I think the book should be ""objectively""!4 stars for me personally, but I believe it deserves 5 stars for young adults that this is geared towards. This is a lovely and wonderful memoir that I think would be perfect for LGBT+ teens and allies who are seeking to learn more about gender identity, toxic masculinity, and themselves. Johnson puts himself in the place of a mentor and friend who's looking out for others (and directly talks to you, the reader) who have been in vulnerable places like him. He shares anecdotes from his life growing up and turns them into accessible lessons for his audience. Johnson seems like such a caring and compassionate person, who holds so much love for his family and the support network he has, and I could truly feel it in his writing and audiobook narration.My caveat is more of a personal preference, but I wish he had done more showing instead of telling in his writing. When he shares anecdotes throughout his life, he also goes out of his way to explain what the story symbolized, which becomes overt and repetitive. I would have liked for him to take a step back and let us process and immerse ourselves in his stories as they are, rather than explaining directly to the reader, especially when the messages can be quite obvious without any further demonstration. As a reader, I prefer the writing to push ideas in a more poetic way, rather than have it be directly told. I’m sure he really wanted to nail the messages down to a teenage audience though, so I don’t really mind and am willing to boost my rating to 5 stars because I still think this is a valuable book for young people in the LGBT+ community.Show more"
https://www.goodreads.com/user/show/41788524-kai-spellmeier,All Boys Aren’t Blue,Rating 5 out of 5,"October 27, 2020",674 likes,3 comments,"so who the fuck let it slip that I cannot resist books with beautiful people wearing beautiful flower crowns on their coversWhat baffles me most about this book is the realisation that heteronormativity and homophobia sit so deeply within society that even when you have a loving and queer-friendly family and friend-circle you will fear and avoid coming out (to yourself as much as to others) for decades. Let that sink in.Honestly though, this book was everything I hoped it would be: An exploration of gender, identity and sexuality. A guide for queer and especially queer, Black kids that shows them they're valued and wanted and powerful. A moving memoir - I cried so much and at this point I don't know whether I'm just a big softie or have an immense talent in always picking books that hit me hardest. I can recommend it to teenagers that have questions about sex, relationships, growing up queer, about growing up Black but also to parents that want to ensure their kid has an affirming and supportive environment. Actually, I want everyone to read this because you're missing out if you're not.Find more of my books on InstagramShow more"
https://www.goodreads.com/user/show/25375513-rick-riordan,All Boys Aren’t Blue,Rating 5 out of 5,"September 27, 2022","1,389 likes",0,"I read this a while back, but I suppose I needed some time to process what I'd experienced. Johnson writes with clarity and power about their experience growing as a Queer Black child in New Jersey, not knowing where they fit in and wishing, as they say themselves, that they had a book like this one to provide some guidance, or at least reassurance, that life would get better, and that there was a path to better acceptance and happiness. The book is structured in a series of short, sharply rendered personal essays, making this a quick and compelling read. Their autobiographical stories are at turns beautiful, sad, painful and joyful, much like life itself. And while this book will be so meaningful to many LGBTQIA+ youth, looking for understanding and representation in an often cruel world, it is also completely relatable to any young reader who has ever felt like they didn't belong, or weren't understood by family or peers. Highly recommended!Show more"
https://www.goodreads.com/user/show/127243807-a-aus,All Boys Aren’t Blue,Rating 1 out of 5,"January 2, 2021",366 likes,6 comments,"I have been debating on whether I should leave a review of this book because as a Gay Black Man I understand the importance of representation and having anything that gives voice to the struggles faced while occupying multiple marginalized spaces. However, I also think for those putting out ""manifestos"" we must hold accountable truths. With that being said, here is my review.I felt this book was problematic on so many levels. Besides this book being poorly written (who edited this book), this author centers himself in everything. I can understand you might say ""well it's his memoir"", but let me explain.The book starts with his ""trauma"" of having his front teeth kicked out when he was 5 years old. One would think that he was gay bashed, but he wasn't. It was just that he got jumped. That's it. He conveniently forgets what the fight was about as he states he can't remember what was said, yet this is put in the book to almost read as though he was gay bashed at a young age and it was a reach of all reaches. He discusses his father being in the hospital (the day of his 21st bday party that he still went to); he has a chapter where he discusses ""name trauma"" trying to connect it to what trans people go through. But his story of ""trauma"" was when he discovered his real name was George and not Matthew...are you serious? People actually have name trauma and his isn't cutting it. And speaking of names, he allows people to call him whatever they want and even says ""it doesn't matter what they call you."" But it does George, it does. Also, in regards to name, the chapter where he talks about his transgender cousin Hope, he decides it appropriate to still type out her dead name and refer to her and her friends (also transgender) as the ""funniest things"" at the barbecue...things? Ok. And he didn't just stop at those stereotypes, when referring to Beyonce he called her ""sassy."" It should also be mentioned that he feels the reason why his memory of his cousin Hope is in black and white is because as queer brown people, our lives are rarely in black and white...give me a break. Man you are reaching.Speaking of words, did you know that he created the term ""Honey Child""? That was news to me because as I am older than the author and from Baltimore, honey child was used by so many people so the fact that he states he created gay language in New Jersey before he knew what it was was laughable at best. This is also coming from an author who gave Nina Simone credit for Strange Fruit. While her rendition was great, Billie Holiday's version is the one that the youth should know. Why is he trying to have history start in the 60's? Additionally, when he does present a chapter that was to highlight the conflict in history as it was (is) taught to us, a way to whitewash our own brown history, he uses undated quotes from Abraham Lincoln to counter the narrative of him being a hero to Black people. While I am not on the Abraham Lincoln bandwagon, I will blame the editors and publishing company for allowing this to happen. When you leave quotes undated, there is no way to get an accurate timeline of personal evolution. Are we to be known by our worst quotes and taken out of context? I am all for calling people out, but let's do it in a way that doesn't leave room for this type of scrutiny. Maybe I am asking too much as a reader, but this is just an example of little to no research or work done in this text. Furthermore, I don't know what Catholic High School starts a week after labor day, but have him tell it, his first day of his junior year was on September 11, 2001 (a Tuesday). How do I know? I just happened to be in college and 6 blocks away from the Towers when they were hit. It's beyond frustrating when people try to position themselves to connect with history in a way that wasn't real (but maybe I am wrong). And why even mention 9/11 when the chapter is about him crushing hard on a boy?His journey is surface level at best. Apparently he's trying hard to be ""masculine"" and it wasn't until he successfully became an Alpha (fraternity) and he reached the goal of masculine signifiers did he say that he could define masculinity on his own terms. Never once did he tell the youth to stop trying to follow the crowd. Too many effeminate queer brown males have died from suicide because of the bullying within the gay community. How often do we see ""no fats, no fems"" and now we have this guy who clearly seems to have been part of that crowd (sorry for assuming) not once declare how problematic his walk was. His letter to his brother basically reads ""thank you so much for your strength"" for him having a gay brother...what? Why are you apologizing and congratulating your brother for being your brother. We have to move beyond apologizing to others for our existence. As I said, the book lacked insight; depth; and any critical theory at all. It read as though he bought a prompt journal and each chapter was his answers to the prompts. This author seems like he's the type of person to go to a support group of gun violence survivors only to discuss how his paper cut connects him to them. But here's the real problem, he was given the platform to do this. When reading this book, he actually has a story worth being told (we all do), but I just don't get the sense that this author has even gone to therapy let alone reconciled his memories and the affects they truly had on him before he wrote this book. It is sad because we need more voices, more representation, but this was just not good. I am tired of people with a decent follower account given carte blanche to disrespect the writing community; those who are actually brilliant theorists, that can successfully connect experiences to philosophies that can get people to think.After reading all the reviews of this book, I am sure my review will be lost in the sea of praise and if it gets to the author, he will most likely look at it as me being mean and causing him trauma, but I would hope he could find some truth into what I am saying. I hope that that truth can lead him to produce better work. I don't think his voice shouldn't be heard, but I do think he needs to sit with these things for a bit before presenting them to young adults. Maybe the themes presented will lead you to talk to your children. Maybe they will lead you to do self reflection. His goal was to get you to use him as a guide, so I pray that people can use this as a jumping off point and actually educate themselves. For this book to be for the youth and discussing Black queerness there was no mention of James Baldwin, Bayard Rustin, Audre Lorde, Langston Hughes, Bessie Smith, Ma Rainey...all famous black queer people of our past. Ok, I am off my soapbox now. I host a book club and this was our book for December. At the end of each book we are tasked to give this a grade; the grades given were: D, F, I, F-, F- That sums it up for me.Show more"
https://www.goodreads.com/user/show/23179211-riley,All Boys Aren’t Blue,Rating 5 out of 5,"June 11, 2020",210 likes,0,"this is a very powerful memoir about being black and queer, and the intersection of those identities. the author narrates the audiobook and you can tell he is a natural born story-teller. i highly highly recommend this"
https://www.goodreads.com/user/show/48328025-megs-bookrack,All Boys Aren’t Blue,Rating 5 out of 5,"February 27, 2024",212 likes,0,"At the conclusion of this stunning Memoir, the author, George M. Johnson writes, if one person is helped by my story, than it was all worth it.I think we can be confident that many, many people will be helped by reading this. Lives will be inspired, changed and possibly saved; not just young people either. I am not even going to bother writing a full review for All Boys Aren't Blue. The bottom line is this book should be read by everyone. Pick it up for yourself and you will see just what I mean. I highly recommend the audiobook, read by the author. Incredibly well done.Show more"
https://www.goodreads.com/user/show/32879029-emma,All Boys Aren’t Blue,Rating 4 out of 5,"July 17, 2020",208 likes,0,"Truly I don’t know how to review this book, so I’m just going to list a few things about it here.- Rarely have I encountered a memoir as honest as this one.- Eventually I felt like it was a little dumbed down???- And it’s called a “YA memoir”...I don’t know what that means but it seems unnecessary- Despite that & feeling kind of slumpy when I picked this up, I fell into it right away.- It’s so well-written and compulsively readable!!!- There is just so much forgiveness and truth and wisdom in this book. It’s miraculous to read. Bottom line: Read the first letter of each bullet point and then tell me how cool and impressive I am in the comments below! And then read this book.4.5 stars-------------please tell the people that keep making these gorgeous flowery covers to take mercy on my tbr and my wallet(thanks to the publisher for the ARC)---i am spending this month reading books by Black authors. please join me!book 1: The Stars and the Blackness Between Thembook 2: Homegoingbook 3: Let's Talk about Lovebook 4: Why I'm No Longer Talking to White People about Racebook 5: The Selloutbook 6: Queeniebook 7: Red at the Bonebook 8: The Weight of the Starsbook 9: An American Marriagebook 10: Dear Ijeawaelebook 11: Sing, Unburied, Singbook 12: Real Men Knitbook 13: All Boys Aren't BlueShow more"
https://www.goodreads.com/user/show/85652414-jesse-on-youtube,All Boys Aren’t Blue,Rating 5 out of 5,"January 14, 2020",162 likes,0,"""No amount of money, love, or support can protect you from a society intent on killing you for your blackness, and shows that a community that has been taught that anyone ""not straight"" is dangerous."" All Boy's Aren't Blue is Johnson's memoir-manifesto; designed to encourage queer black boys to uncrate the layers of their masculinity and racialized existence. All Boys Aren't Blue is an effervescent interrogation of compulsory heterosexuality and crushing gender-centric expectations, a kaleidoscope of intergenerational storytelling, and cultural connectedness. All Boys Aren't Blue is a testimony, a love letter, to black queer bodies and officially one of my most treasured books. This work teaches black boys and gender nonconforming individuals to subsist in a world that seeks to build us out of it. It is the most powerful exploration of gender I have read next to Freshwater and the most touching memoir I have consumed next to In the Dream House. I state this praise with great care as both aforementioned titles are in my personal literature hall of fame. I related to the essays with a level of intimacy that I cannot name and maintain that the work itself exists as a powerful tool to fight marginalization and the ways we might internalize it. George's writing is casual but engrossing as he fluidly explores a myriad of topics relevant to the black queer body through a critical lens while still managing to fill the pages with black joy, love, hope, and celebration. Preorder this book - it releases in April. I want everybody and their mama to read it. Notes: Undoubtedly some elitists will denounce this book's casual teen-centric writing style, but George is able to deliver his messages without complex prose, proving that colloquial language is All Boy's Aren't Blue's strength, not its weakness. Topics/themes: sex, consent, pleasure, trans/nonbinary, blackness, trauma, racism, homophobia, black boy joy, masculinity, sexual assault, molestationShow more"
https://www.goodreads.com/user/show/2190064-nenia-i-yeet-my-books-back-and-forth-campbell,All Boys Aren’t Blue,Rating 3 out of 5,"February 6, 2023",149 likes,0,"Instagram || Twitter || Facebook || Amazon || PinterestWhen I found out that ALL BOYS AREN'T BLUE was the second-most banned book in the U.S., I made getting a copy a top priority. Banning books is so wrong; not only is it unconstitutional, but I find it to be a type of thought-policing. It also makes me wonder-- what's in this book that you're so desperately trying to hide? There is literally no faster way to make me read something than by unhauling it from a library, and best be sure that I'm going to tell all my followers to read it, too.For a banned book, ALL BOYS AREN'T BLUE really isn't that revolutionary or extraordinary, which honestly says a lot about the people trying to remove this from shelves. Most of what the author, George M. Johnson, says makes a lot of sense. They talk a lot about their family life and not fitting in with boys or the expected gender norms of the Black and white communities. They talk about some of their early traumas and how that shaped them, whether it was being jumped at five, or watching their cousin nearly drown. They talk a lot about how integral their family's support was in shaping their identity and leading to what was, mostly, a healthy upbringing.Apparently, this is a memoir that is largely targeted at young adults, which explains why parts felt so instructional. I am not a young adult, so I realize-- belatedly-- that I am not in the target audience for this book. Despite that, I think there is so much value in this book as a resource. All the things the author talked about regarding the shaping of his identity and not fitting in will probably be so relatable and important for other nonbinary or trans kids experiencing the same thoughts and sense of alienation. Knowing you're not alone when you're feeling lonely and out of place is seriously such a balm. He also briefly discusses sex, and how sex with someone you like can be bad sex (a valuable lesson), and a little bit about sexual abuse, and the lasting impact that that can make on someone.I'm giving this a three star rating because it wasn't perfect and there were a few things I didn't like about it. The passage about 9/11, as other people have said, was a bit... uh, weird. They also made a choice to dead name one of their trans relatives, and while I believe this is to provide context about their family's struggle to understand and accept what being trans meant, it was a weird thing to do, especially since early on, George writes about the shock of finding out that his name wasn't really Matthew but George when he was a kid, and emphasizing the importance of calling people what they want to be called. Some of the essays also felt a little disorganized and messy. But what redeemed this book for me in the end were the great passages about their family and the overall message of staying true to yourself.3 to 3.5 starsShow more"
https://www.goodreads.com/user/show/3672777-nataliya,All Boys Aren’t Blue,Rating 2 out of 5,"September 20, 2022",125 likes,1 comment,"Typically upon seeing the description of “a memoir-manifesto” in the title, I would have stayed away. I’m not big on declarations of manifestos, and I’m pretty removed from the Young Adult demographic. But then I came across a wonderful essay by one of my favorite GR reviewers on banned books, and followed his suggestion to request a banned book to make sure it stays in circulation. This book landed a #3 spot on the Top 10 Most Challenged Books of 2021 list by American Library Association (“Reasons: Banned and challenged for LGBTQIA+ content, profanity, and because it was considered to be sexually explicit”). So checking it out seemed like a no-brainer. “Nowadays, we are assigning gender even before birth. We have become socially conditioned to participate in the gendering of children at the earliest possible moment—whenever a sonogram can identify its genitalia. Gender-reveal parties have become a trendy way to celebrate the child’s fate, steering them down a life of masculine or feminine ideals before ever meeting them.”No, I didn’t care for it at all. I thought it was remarkably self-indulgent, even for a memoir which presumes quite a hefty dose of that, and a lot of focus seemed a bit off and misplaced. Everyone’s experience is valid, sure, but someone coming from such a supportive family and quite a comfortable existence in the middle class background may come to focus on things that don’t have an impact equal to what they perceive it to be for others. Some nuances in self-awareness seemed to be lost in this narrative, with a few relatively ordinary and banal experiences stretched a bit too much to make them necessary meaningful.It may be the influence of the titular manifesto, but there was too much preachiness and drawing conclusions from events based on quite tenuous connections, and insistence on spoonfeeding the readers all the conclusions Johnson wants us to reach. And those conclusions were strangely simplistic and shallow — and yet earnestly heavy-handed and self-indulgingly overanalyzed. Let the readers think for themselves instead of hitting them over the head with your points; it actually works better that way.Johnson is an engaging narrator, sure, but the problem is that there’s not enough meat in the way this story is presented to really engage me. The weak prose didn’t help either.And yet I would not want to forcibly prevent anyone from reading this book. Seriously, there is nothing here that should ever land it a spot on the Most Challenged Books list. The author wants to bring attention to the issues at the intersection of Black and queer experience, and does exactly that. A scene of brief sexual molestation by a relative is not written to be attractive, and shows what sadly is not as uncommon of an experience as we’d like it to be. And a brief description of his two other adult sexual encounters is also nothing that should have anyone - and yes, that includes even the parents of middle grade and young adult demographic - reaching for their smelling salts. (But we all know that for some people any same-sex experience inevitably leads to a serious case of pearl-clutching, so there’s that).It’s not a book for me, but it may be - and judging from its ratings, already has been - a good book for a different reader. So hopefully the pearl-clutchers give up and do something more productive with their lives. 1.5 stars — but let’s not take away others’ ability to access it freely from the library and form their own opinions.——————Also posted on my blog.Show more"
