User Href,Title,Rating,Date,Likes,Comments,Review
https://www.goodreads.com/user/show/6431467-s-penkevich,Gender Queer,Rating 5 out of 5,"June 13, 2024",646 likes,9 comments,"I am so happy and thankful for books such as this, protect it as it frequently faces bad-faith challanges for removal and should remain on shelves in public libraries. Once again, Gender Queer was cited by the American Library Association as the most challenged or banned book for the year (read the full list for 2023 here) in a year that saw 1, 247 demands to remove 4,240 unique titles among other library services, making for an alarming 65% surge from the previous year. But don't let that turn you away. Gender Queer, a graphic memoir by Maia Kobabe, is such an honest and open look at the author’s own path through understanding gender and sexuality. This is a beautiful book that will be useful to anyone looking to reflect on better understand non-binary gender, particularly as the telling is so full of careful nuance that looks at all the many avenues and aspects of non-binary identity and shows how discovering the language to assess identity is key in helping process yourself. Using the  Spivak pronouns e/em/eir, as in ‘ask em what’s in eir tea’, Kobabe shows how there are many ways to identify yourself in a way that feels true to yourself. 

 The path can be confusing, with Kobabe demonstrating how e grappled with different possible identities, realizing that asexual or trans were close but not quite right. For Kobabe, performing gender was less the issue as much as wanting to reduce gender—'I don't want MORE gendered traits, I was LESS'—and e’s journey is a really valuable story to help guide others in their own struggles with gender identity. Books like this one are really important, especially as this book can be read and understood at a younger age when finding yourself in the story will be super helpful and supportive. I wish I had found books like this when I was 14 instead of not realizing I was non-binary until my late 20s. Then it all clicked.The poet Charles Simic once wrote ‘everyone wants to explain the poem except the poet’ and in that spirit I feel like I shouldn’t explain too much and just encourage you to read this. A general overview of the ideas is useful but I feel like Kobabe’s nuanced approach would be far more educational. Another book that I would recommend along with it is the graphic nonfiction, Gender: A Graphic Guide. It isn’t perfect but it gives a really useful overview and historical context. This is a really well done memoir that is very moving. Maia very tenderly examined eir life journey and interpersonal relationships, as well as really demonstrates a love for reading. I particularly enjoyed this as so much of my own journey to figuring my gender identity and sexuality came from reading. Shoutout to the poets, you gave me the words to understand myself. I really appreciate e’s approach to showing how much language can help us unpack ourselves. There are some amazing descriptions here or fresh ways to look at ideas that are helpful, such as Kobabe describing gender as less of a spectrum and more of a landscape. 

There are great discussions on using correct pronouns and why it is totally acceptable to ask others to identify you appropriately. 'Instead of asking people to do something to make you feel more comfortable, you'd rather just feel a little uncomfortable all the time?' someone asks Maia. While it is show how it can be difficult at first to switch pronouns (Maia included when having eir's first they/them professor), it also really shows the discomfort someone feels when being misgendered. Its a helpful and healthy lesson we can all learn.An important book that I’d love to see on the shelves of every public library everywhere. This book tends to be frequently the center of bannings, all of which being tantrums with little to no rationality behind them. Maia Kobabe put out this wonderful respose in the Washington Post about the situation and reminds us that these books can be a lifeline for teens who need it.

Show more"
https://www.goodreads.com/user/show/26234267-maia,Gender Queer,Rating 5 out of 5,"May 1, 2019","6,085 likes",0,I wrote this book and I am proud of it.
https://www.goodreads.com/user/show/91434473-daph-pink,Gender Queer,Rating 5 out of 5,"March 11, 2024",551 likes,9 comments,"""Some people are born in mountains while others are born by the sea. Some people are happy to live in the place they were born, while others must make a journey to reach the climate in which they can flourish and grow!""As being a 18 year old teen , i am still questioning my sexual orientation and gender preferences at times I feel I am bi/ace or maybe queer so I decided to spend some time reading about them ! So here's to this book!I found this book really really brave, amazing, liberating and honest.Can I say I feel connected at times? I told you I am still questioning!It's like one of the best non fiction / memoir I have read in a while and it's a graphic book or what are you guys waiting? Its a graphic book!Just grab a copy and start it!Recommended for non binary? Asexual? Queer? Or maybe someone like me just exploring?Some of the fav lines :-✒""It was everyone else being silly, not me.”✒“This seed put out many leaves, but I didn’t have the language to identify the plant.”✒“Friendship is NINE THOUSAND TIMES better than romance!”✒“I’d be constantly resenting my kid for taking up all my time. I’m way too selfish for parenting.”✒“I wish I didn’t fear that my identity is too political for a classroom.""And not to forget all the one direction references !!Larry Larry Larry !!!!!Are you like kidding me??? Wooooow www Author! Welcome to one of the best fandom!Seriously this is us/hi oops/ corden angels/tattoos I am trash for you now Maia💚Heck yesssssss!Okay enough of fangirling!I am going byee!Show more"
https://www.goodreads.com/user/show/3065234-l,Gender Queer,Rating 1 out of 5,"December 28, 2021",320 likes,9 comments,"I really feel frustrated with how little critical thought was in this book. Maia relays all the ways their female body was stigmatized by societal norms (not being allowed to be topless even as a child, shaving etc) and the ways having a female body is a messy business (periods, pregnancy) and how that is compounded by social expectations (all women should love children and become mothers), but cannot connect that to their own discomfort with their body, even in passing. They also fail to understand discomfort with female puberty as a near universal experience among women despite talking about how this was discussed in one of the most popular children’s fantasy series of all time, the Lioness Quartet. Listen to other women. You are not alone in any of this. These are all common thoughts and experiences. “It’s more about NOT being female than BEING male.” I want to scream. This is exactly how so many of us feel and the reason we feel this way is not because of brain sex because brain sex doesn’t exist. It is societal. The way Maia dismisses their lesbian aunt saying this is due to misogyny but the conversation is not shown... it’s because Maia doesn’t have a rebuttal tbh. Just say, I’ve decided I’m #notlikeotherwomen and be done with it. And there are so many other little issues that are also grating:For example, someone should have told Maia that liking gay fanfiction is incredibly normal for straight/bisexual women. (Well, the thing is Maia knows this.)Also someone should have told Maia that 21 year old virgins don’t really need pap smears. And that no woman “feels” “cis.” Cis is an almost totally useless and meaningless term. And there is no such thing as a female or male brain! The unbelievable misogyny of such a claim.And honestly it is not normal to be writing gay fanfiction of real, existing teenagers when you’re in grad school. Stop that.Show more"
https://www.goodreads.com/user/show/176152510-daly-cogards,Gender Queer,Rating 5 out of 5,"July 3, 2024",329 likes,0,"Experiencing Gender Queer was transformative. Maia tells their story of self-discovery, and navigating gender with a lot of candidness and vulnerability. From the very first chapter, I was enthralled. Maia’s progression from confusion, then realization, to finally embracing, is one that I think a lot of people (regardless of gender, sexuality, or simply existentially) can relate to.Audiobook version can be found here: ""Gender Queer"" - AudiobookThe narration was amazing. The voice brought Maia’s words to life, and I could really feel the struggle, the joy, the pain, and every other emotion that Maia went through. It’s one thing to read someone’s experience, but having someone tell their own story really adds a different layer of connection.What really wowed me was Maia’s ability to discuss really complex topics like dysphoria, coming out, along with compassion and such clarity. It felt like I was having a really heartfelt conversation with a close friend who is sharing their most intimate moments. This book doesn’t shy away from the hard conversations, but also showcases the wins and the importance of finding a community that loves and supports you.A big takeaway for me was hearing about Maia’s relationship with their family and with friends, and how those relationships changed over time. It was a reminder of how important it is to have people who love and support you for who you are.Show more"
https://www.goodreads.com/user/show/6296289-tyler-gray,Gender Queer,Rating 5 out of 5,"August 6, 2019",193 likes,0,"I needed this book 20 years ago. Words can not describe how much I love this book. It's a memoir about growing up and figuring out that one is non-binary and asexual. While I am not asexual, I am non-binary...and while I can look back on my life now and realize I have always been this way, it took until age 30 to find the words. To realize, i'm not a freak. I'm not wrong. I'm not confused (anymore-and if I had had the words and someone else saying ""me too"" I never would have had to be). That i'm not alone. So many instances of ""OMG ME TOO!"" ""Yes, so much yes"" ""I feel this so hard"" ""Wait...there is a WORD for that? And it's not just me?"" It's a memoir of someone else's life but so much of it mirrored my own. Not 100% obviously, but a lot of it. And it made me feel so incredibly seen. I am still trying not to cry while writing this...and i'm failing. I'm so glad to finally understand my struggle with gender that i've had as long as I can remember. To finally know i'm not a freak, alone, wrong for feeling this way. And that there are words. Words can mean the entire world. In some cases I did honestly say ""lucky you"" to privilege's e had that I did not. Like on page 150 where e mention their lack of chronic pain and health issues. I was born with vacterl association. I am a medical nightmare, have always had chronic pain (getting worse as I get older) and I always will. But e is aware of that privilege.I would highly recommend this to, well everyone. Non-binary? Asexual? Queer? Wanting to learn? It's a graphic novel. It's easy and quick to read. It was hard hitting for me because I personally related to a lot of it. I needed this. I got it from Hoopla and I will be buying a copy so I can hug it! And re-read it.Though saying how much I related to this and having others read it feels like i'm getting naked in front of everyone. But oh well. Because I am who I am. And that's ok.Show more"
https://www.goodreads.com/user/show/136222212-jay,Gender Queer,Rating 1 out of 5,"December 22, 2021",159 likes,5 comments,"This book is all about a girl wanting to be a super special snowflake and expanding upon her very obvious internalized misogyny. Maia clearly has major mental health struggles and decides to fixate on a dislike of being female as a way to feel empowered. Newsflash: many girls go through this. In fact, a ton do. Puberty really sucks. Growing up sucks. Young adulthood sucks. Eventually you grow out of it if you either give it enough time or actually work with a therapist who doesn't immediately jump to gender crap. If you think about it, everyone is technically ""non binary"" or ""gender queer"". No one is 100% feminine or masculine. That doesn't make biological sex not real. You are either male, female, or intersex (and most intersex people still are more male or female) and that's the only thing limiting you. Why have we basically gone backwards and are now more sexist again? Rejecting biological reality and playing pretend is a childish thing. And medical transition is just unnecessary and often harmful cosmetic procedures.Show more"
https://www.goodreads.com/user/show/269235-dave-schaafsma,Gender Queer,Rating 4 out of 5,"March 29, 2023",143 likes,0,"3/29/23: Here is a link to news that this good book is the most censored book in this time of censorship and bookburning:https://www.youtube.com/shorts/ogsMoR...I say recommend and buy and share this book widely, to undermine all the people that are one-starring it just because it is about glbtq issues. 2022 comment: Today I read in the Chicago Sun-Times that this book was being banned in Downer's Grove, Illinois (west of Chicago) as ""porn"" by some parents in the community. Here's one article on the controversy:https://news.yahoo.com/chicago-studen...Initial review: Gender Queer is a memoir comic by Maia Kobabe with a title that signals the desire to reach out to others, I think, of similar non-binary inclinations (or commitments). In this still relatively new moment of non-binary pronoun usage to signal identity, Kobabe uses the “Gayatri Spivak” system of “e, em, eir.” E (Kobabe) also identifies as asexual, though e does have a kink or two. For part of the book Kobabe identified as bi, but really, e does not want to be either a girl or boy (so e’s, just for the sake of identification, not trans), or have any sexual relationships with others, though we learn e tried. Eir (queer) sister at one point told em she thought Maia was genderless, and this might be something e might agree with, not sure. Eir family and friends have all been very supportive, it seems.I had to look up the difference between the non-binary/gender queer and gender fluid, which is more about fluctuating between genders, or being flexible about it all, as I understand it.Kobabe is shy, secretive, non-confrontational, so it seems like a particular act of courage for someone like em to write such a book, to share eir story, though probably more for others on the road to their own journies than even for em. (How’m I doing on the pronoun usage, kids?! I’m a cis-gendered dude of a certain age. . . I will admit I am still learning, and had to go over this several times. . .)Not that I think this book describes “a phase,” but I have the sense that Kobabe will think somewhat differently about all these issues ten years from now, which is not to say e will suddenly become binary. I just have this feeling that part of identity for many people seems to involve exploration, just figuring things out. Youth is a particular time for this, of course; maybe for some people it happens later. Until this book made me think hard about it, I hadn't realized how many people I know that are probably gender queer. I like the art, I like knowing eir story. I guess the only issue I have with the book is that titling it thus makes it appear less autobiographical and more like a book that defines a topic, which it does not. It is about em and eir specific identity issues/commitments, while introducing you to the idea generally of people being non-binary. But anyone who is gender queer or knows someone who is ought to read this book, I think. You’ll learn a lot. I did. I am glad it is being read by so many people already on Goodreads, people largely seeming to love it!Show more"
https://www.goodreads.com/user/show/2018505-thomas,Gender Queer,Rating 4 out of 5,"May 4, 2023",142 likes,0,"I enjoyed reading this memoir about Maia Kobabe’s journey of navigating eir gender landscape and accepting eir genderqueerness and eir asexual and aromantic identities. I liked how e captured the messiness of the process, about how e had to try out different types of clothes, relationships, etc. until e figured out what worked best for em. E shared the difficult parts of the process *and* the joyful parts, such as finding community who loved em for em and coming to a place of self-acceptance and self-knowledge. Given the horrid transphobic garbage happening in the United States right now, having written and published this memoir is unfortunately an act of courage.On the note of the widespread bans on this book… honestly I don’t even really want to get into it because I’m in the home stretch of my residency, planning a move, and dealing with a gay crush, but I’ll just say: how cruel do you have to be to hate people for living as their authentic selves?? The hate Maia Kobabe is receiving for living as eir authentic self in particular feels so unnecessary and bigoted. It’s interesting (and by interesting, I mean disappointing and disgusting) how wedded people can be to their own fixed, rigid notions of gender, sexual orientation, and attraction. If you want to be cisgender and romantic and allosexual, you can do that in your own life and leave trans, aro, and ace communities alone.Show more"
https://www.goodreads.com/user/show/42777168-n,Gender Queer,Rating 1 out of 5,"August 18, 2022",134 likes,4 comments,"It’s not the topic of this book that gets it a 1-star rating from me. I was hopeful and excited to read a book that combined multiple things I love: a graphic novel storytelling format, personal memoir, and a topic related to gender studies/expansive gender identities.I was so disappointed in this book for so many reasons. The narrative aspect is just…bad…plus the book unknowingly perpetuates toxic ideas about gender/identity, such as presenting “autoandrophilia” as a positive and/or neutral identity as opposed to a term weaponized by bigots to invalidate and demean transgender identities. I also think the author has a poor grasp of gender studies in general. When confronted by a relative who asks “are you sure this isn’t just internalized misogyny” the author…doesn’t have an answer? And didn’t even come up with an answer during the process of writing this memoir? You could’ve just said “my gender identity isn’t about hating womanhood, I celebrate womanhood in others, but I celebrate my own gender in a different way” like this is a pretty basic thing you could’ve put in your book that would really help other people. Also I have to say it. Referencing Supernatural incest fanfiction in a positive way in your debut memoir??? Really??? You couldn’t have left that out??? You couldn’t have picked literally any other pairing??? Why did you think this was a good idea????????The Supernatural incest fanfiction thing is….really an apt representation of the whole memoir. The author is deeply flawed in presenting this as a resource for youths exploring their genders, because most of this book isn’t even relatable, much less a solid resource. It delves into the author’s personal experiences, but even those experiences are deeply limited. If you were a Tumblr fandom enthusiast back in the day (aka if the word “Superwholock” means anything to you), then you’ll connect to this book, but otherwise it’s not for you. I really struggle to see how Gen Z kids could relate to this book at all because of how stuck in time it is (and I say this as a Millennial who lived through the Tumblr fandom era myself, so I did catch all the references). In general, I hate to agree with conservatives on anything, but I also do have to say this isn’t really a book for younger audiences. I absolutely think younger audiences should have access to informative materials that encourage safe sex and healthy relationships from an LGBTQ+ inclusive standpoint…but this book doesn’t offer any of those things. The sex stuff in this book doesn’t contribute anything to the greater purpose of being relatable and informative to a marginalized population, and if anything presents problems without solutions that put readers at risk of taking on the author’s ignorance. For example, when the author has a gynecological exam, the result is mental trauma and extreme pain. But instead of opening up the topic to say “oh this could be something called vaginismus and there are things like pelvic floor physical therapy that can help with this EXTREME PHYSICAL PAIN THAT IS NOT NORMAL,” the author just leaves the topic hanging except to say “I got a second exam years later and it was just as bad!” Like, it frustrates me that the author took what could’ve been a great opportunity to address an issue that isn’t talked much about that affects a ton of people, and just…squandered that opportunity. It doesn’t help anyone! And this is just one of many instances in the book where the author is basically Lucy holding the football for Charlie Brown—just pulling the topic away right when it could become the most valuable, interesting, or informative. Really frustrating.Anyway, this book is overall just not good from start to finish, and I would recommend “Tomboy” by Ivan Coyote as a far better personal memoir examining an author’s non-binary experience.Disclaimer: I am also non-binary I can assure you this book is just badShow more"
