User Href,Title,Rating,Date,Likes,Comments,Review
https://www.goodreads.com/user/show/13266158-samadrita,The Bluest Eye,Rating 4 out of 5,"October 5, 2015","1,750 likes",7 comments,"Just a few days ago I happened to have a conversation with someone (quite a 'well-read' person too) who said quite casually, almost in an offhand manner, how he found books written by women 'uninteresting'. On prodding him for the reason behind his 'disinterest', he replied that 'books written by women just do not engage' him. I didn't have the heart to ask him why a second time.And there it sat between us, this knowledge of his disdain for women writers (for some hitherto unknown reason), like a breathing, venom-spitting, invisible monster quietly killing our conversation (thankfully!).No evasion. Not even a half-hearted attempt at rescuing an uncomfortable situation. A wholly unabashed, flat out declaration made with the confident, self-righteous air of a reader who knows what good reading should consist of and, when it comes to that, exclude.In retrospect, when I dwell on the memory of this horrendous, very real conversation, I experience a crushing hopelessness. It's not that particular guy I am mad at. No. He is only a minuscule part of the universal malady afflicting our collective psyche. It is this spirited tolerance for continued ignorance and apathy that infuriates me so. This tradition of belittling the female voice which speaks of personal sexual gratification, love, marriage, and childbirth, of the tyranny of beauty that forces her to adhere desperately to some predetermined standard of physical perfection - the right angle to her cheekbones, the right slope to her nose, the right lushness to her eyelashes, the right curve to her hips, the right skin color to match her hair and her eyes. All of this is terribly uninteresting isn't it? 
""It was as though some mysterious all-knowing master had given each one a cloak of ugliness to wear, and they had each accepted it without question. The master had said, 'You are ugly people.' They had looked about themselves saw nothing to contradict the statement; saw, in fact, support for it leaning at them from every billboard, every movie, every glance. 'Yes,' they had said, 'You are right.' And they took the ugliness in their hands, threw it as a mantle over them, and went about the world with it.""
So what if she is a Nobel laureate? So what if she created the most haunting, poignant and unforgettable elegy to the horrors that American slavery spawned? So what if she has crafted an eleven-year-old, ugly and unfortunate Pecola Breedlove with the utmost sincerity? So what if she has made her ugly and unfortunate Pecola yearn for a shred of love and dignity in vain till her last days? So what if she has tried to shed some light on the unloved, the mercilessly trodden upon rejects of a community caught in the vicious trap of fatal self-loathing? So what if she has thought up a newer way to deconstruct the violence of a sexual crime by removing the convenient 'glamour of shame' routinely heaped on the victim? So what if she has tried to bestow humanity even on the ones beyond redemption? So what if she has offered a window into a world where a million and one injustices compete for primacy every moment?Such trifling womanly subject matters do not mesh well with the reading tastes of a man! After all, the Doris Lessings and Elfriede Jelineks, Nadine Gordimers and Alice Munros, Zora Neale Hurstons and Zadie Smiths, the Jhumpa Lahiris and the Banana Yoshimotos, the Brontë sisters and Virginia Woolfs, write/wrote books for only women to read and appreciate.'Women can't paint, women can't write...'It hurts to know that the Charles Tansleys of the world are alive and well. But, thankfully, we have the Toni Morrisons to restore some balance.Show more"
https://www.goodreads.com/user/show/36813-summer,The Bluest Eye,Rating 5 out of 5,"February 7, 2008",731 likes,4 comments,"Toni Morrison doesn't get the respect she deserves and has rightfully earned. I think that part of this has to do with the unfortunate connotations people have regarding Oprah's Book Club and part of it stems from, if not outright racism and misogyny, than the racist and misogynist assumptions that Morrison is popular only because she is a nonwhite woman, liberal guilt etc. The latter is false: Toni Morrison has won the Pulitzer and the Nobel because she is an excellent author.N.B. - Before I get jumped on by total strangers for making assumptions about Morrison's detractors, these are actual comments about her books, from Amazon.com:""Toni Morrison is the most overrated author in America, it's only because of Oprah (the most overrated ""personality"" in America"") that she is popular.""""You know, I know blacks have had a hard time in this world...I'm not naive...but there's a right and wrong way to tell us about your problems. This book is an example of the wrong way. To me it came off as preachy and heavy-handed.""""Once again, Toni Morrison puts an assortment of diatribes and racial angst into book form and masquerades it as literature with a moral message.""""What is actually between the covers of the book is 150 pages of the gross aspects of sex and femine hygene. That is not what makes brillant writing.""""The Bluest Eye does not celebrate the beauty of the black individual but instead simply and grotesquely trashes white characteristics (i.e. blonde-straight hair/blue eyes.) So if a little blonde-haired blue-eyed girl reads this book is she supposed to feel ashamed to have these characteristics?""""I think it's terrible that Oprah Winfrey would recommend a book as anti-white as this. It's not as bad as some ""black"" literature that blames everything on white people, but it's close.""It's foolish to assume that the thoughts and experiences of women and of nonwhite American citizens is not worthy of writing about, and reviewers that slam the book as ""anti-white"" completely miss the point of themes of cultural hegemony, internalized hatred, taboos in beauty and sexuality, oppression, etc. And it's just darned lazy to discount this book's beautiful use of multiple narratives and excellent turns of phrase. Morrison's literature often makes me angry and depressed, but not as angry and depressed as some of the reviews it gets.Show more"
https://www.goodreads.com/user/show/48483884-michael-finocchiaro,The Bluest Eye,Rating 5 out of 5,"April 4, 2022",552 likes,0,"Toni Morrison is one of my favorite authors. I discovered her writing with Beloved for which have a copy signed by her at a reading in Brooklyn of Jazz decades ago. In The Bluest Eye, she looks at the intersection of racism, self-hatred, poverty, and sexuality with realism and her beautifully descriptive writing style. The book starts off with one of Toni Morisson's typically powerful opening lines:Quiet as it’s kept, there were no marigolds in the fall of 1941. We thought, at the time, that it was because Pecola was having her father’s baby that the marigolds did not grow. (loc. 110) We see this flower analogy towards the end of the novel again. Beautiful but hopeless prose:Our innocence and faith were no more productive than his lust or despair. (loc. 118) as well asThere is really nothing more to say—except why. But since why is difficult to handle, one must take refuge in how. (loc. 121)A beautiful metaphor for living in a racist society:Being a minority in both caste and class, we moved about anyway on the hem of life, struggling to consolidate our weaknesses and hang on, or to creep singly up into the major folds of the garment. (loc 235)I liked the feminist message in this paragraph on how girls are given dolls to instruct them subconsciously in their future roles as caretakers (thus why I didn't buy dolls for my daughter):I was interested only in humans my own age and size, and could not generate any enthusiasm at the prospect of being a mother. Motherhood was old age, and other remote possibilities. I learned quickly, however, what I was expected to do with the doll: rock it, fabricate storied situations around it, even sleep with it. Picture books were full of little girls sleeping with their dolls. Raggedy Ann dolls usually, but they were out of the question. I was physically revolted by and secretly frightened of those round moronic eyes, the pancake face, and orangeworms hair. (loc. 265)The beautiful difference between what people think she wants and what she really wants:Had any adult with the power to fulfill my desires taken me seriously and asked me what I wanted, they would have known that I did not want to have anything to own, or to possess any object. I wanted rather to feel something on Christmas day. The real question would have been, “Dear Claudia, what experience would you like on Christmas?” I could have spoken up, “I want to sit on the low stool in Big Mama’s kitchen with my lap full of lilacs and listen to Big Papa play his violin for me alone.” (loc. 287)How mass-culture is used to instill a racist hierarchy of beauty and value:The best hiding place was love. Thus the conversion from pristine sadism to fabricated hatred, to fraudulent love. It was a small step to Shirley Temple. I learned much later to worship her, just as I learned to delight in cleanliness, knowing, even as I learned, that the change was adjustment without improvement. (loc. 304)Wow, this is one mean, low-down couch!  It withheld the refreshment in a sleep slept on it. It imposed a furtiveness on the loving done on it. Like a sore tooth that is not content to throb in isolation, but must diffuse its own pain to other parts of the body—making breathing difficult, vision limited, nerves unsettled, so a hated piece of furniture produces a fretful malaise that asserts itself throughout the house and limits the delight of things not related to it. (loc. 495)Brutal about how we feel we are perceived modifies behavior and thinking and reinforces poverty:They lived there because they were poor and black, and they stayed there because they believed they were ugly. Although their poverty was traditional and stultifying, it was not unique. But their ugliness was unique...You looked at them and wondered why they were so ugly; you looked closely and could not find the source. Then you realized that it came from conviction, their conviction. (loc. 505, 511)How our dreams eventually lose out to reality:This family, on a Saturday morning in October, began, one by one, to stir out of their dreams of affluence and vengeance into the anonymous misery of their storefront. (loc. 520)Fascinating, the two Christs here:(Cholly was beyond redemption, of course, and redemption was hardly the point—Mrs. Breedlove was not interested in Christ the Redeemer, but rather Christ the Judge.) (loc. 555)How hate can be self-sustaining:Hating her, he could leave himself intact. (loc. 562)The downward spiral of toxic masculinity:Even a half-remembrance of this episode, along with myriad other humiliations, defeats, and emasculations, could stir him into flights of depravity that surprised himself—but only himself. Somehow he could not astound. He could only be astounded. So he gave that up, too. (loc. 565)The eye analogy is, naturally, one of the most important throughout the entire book:Try as she might, she could never get her eyes to disappear. So what was the point? They were everything. Everything was there, in them. All of those pictures, all of those faces. (loc. 599)Pecola was, for me, a truly heartbreaking character:Each night, without fail, she prayed for blue eyes. Fervently, for a year she had prayed. Although somewhat discouraged, she was not without hope. To have something as wonderful as that happen would take a long, long time. Thrown, in this way, into the binding conviction that only a miracle could relieve her, she would never know her beauty. She would see only what there was to see: the eyes of other people. (loc. 616)The problem of peaking too early and being considered a weed instead of a flower:Nobody loves the head of a dandelion. Maybe because they are so many, strong, and soon. (loc. 626)Sad description, but so apt:She looks up at him and sees the vacuum where curiosity ought to lodge. And something more. The total absence of human recognition—the glazed separateness. (loc. 643)There is always humanity and humor in Morisson's work:“Well, this hippo had a ball back in Chicago. Whoa Jesus, ninety-nine!” “How come you always say ‘Whoa Jesus’ and a number?” Pecola had long wanted to know. “Because my mama taught me never to cuss.” “Did she teach you not to drop your drawers?” China asked. “Didn’t have none,” said Marie. “Never saw a pair of drawers till I was fifteen, when I left Jackson and was doing day work in Cincinnati. My white lady gave me some old ones of hers. I thought they was some kind of stocking cap. I put it on my head when I dusted. When she saw me, she liked to fell out.” (p. 729)A poignant description of winter:By the time this winter had stiffened itself into a hateful knot that nothing could loosen, something did loosen it, or rather someone. A someone who splintered the knot into silver threads that tangled us, netted us, made us long for the dull chafe of the previous boredom. (loc. 800)The mystery of racism to children:What was the secret? What did we lack? Why was it important? And so what? Guileless and without vanity, we were still in love with ourselves then. We felt comfortable in our skins, enjoyed the news that our senses released to us, admired our dirt, cultivated our scars, and could not comprehend this unworthiness. (loc. 983)How a town's name can make some people dream:When you ask them where they are from, they tilt their heads and say “Mobile” and you think you’ve been kissed. They say “Aiken” and you see a white butterfly glance off a fence with a torn wing. They say “Nagadoches” and you want to say “Yes, I will.” You don’t know what these towns are like, but you love what happens to the air when they open their lips and let the names ease out. (loc. 1069)This is so beautiful:That is what she herself did. But to find out the truth about how dreams die, one should never take the word of the dreamer. (loc. 1424) as is this:She had not known there was so much laughter in the world. (p. 1498)Ostensibly, this paragraph is about rotting teeth, but it is also about how repeated violence rots out the inside of many, many women:And then she lost her front tooth. But there must have been a speck, a brown speck easily mistaken for food but which did not leave, which sat on the enamel for months, and grew, until it cut into the surface and then to the brown putty underneath, finally eating away to the root, but avoiding the nerves, so its presence was not noticeable or uncomfortable. Then the weakened roots, having grown accustomed to the poison, responded one day to severe pressure, and the tooth fell free, leaving a ragged stump behind. But even before the little brown speck, there must have been the conditions, the setting that would allow it to exist in the first place. (loc. 1501)Such a wise deconstruction of romantic love and physical beauty in society's eyes:Along with the idea of romantic love, she was introduced to another—physical beauty. Probably the most destructive ideas in the history of human thought. Both originated in envy, thrived in insecurity, and ended in disillusion. (loc. 1572)The horror of a white hospital treating black pregnant women:When he got to me he said now these here women you don’t have any trouble with. They deliver right away and with no pain. Just like horses. The young ones smiled a little. They looked at my stomach and between my legs. They never said nothing to me. Only one looked at me. Looked at my face, I mean. I looked right back at him. He dropped his eyes and turned red. He knowed, I reckon, that maybe I weren’t no horse foaling. (loc. 1607)Beautiful description of freedom:They were, in fact and at last, free. And the lives of these old black women were synthesized in their eyes—a purée of tragedy and humor, wickedness and serenity, truth and fantasy. (loc. 1794)One of Toni's more ingenious sentences in this wonderful novel:Only they would know how to connect the heart of a red watermelon to the asafetida bag to the muscadine to the flashlight on his behind to the fists of money to the lemonade in a Mason jar to a man called Blue and come up with what all of that meant in joy, in pain, in anger, in love, and give it its final and pervading ache of freedom. (loc. 2076)I had to look up 'Moirai' which turns out to mean 'the Fates':Public fact becomes private reality, and the seasons of a Midwestern town become the Moirai of our small lives. (loc. 2395)Incredibly powerful passages continued:I thought about the baby that everybody wanted dead, and saw it very clearly. It was in a dark, wet place, its head covered with great O’s of wool, the black face holding, like nickels, two clean black eyes, the flared nose, kissing-thick lips, and the living, breathing silk of black skin. (loc. 2433)A little black girl yearns for the blue eyes of a little white girl, and the horror at the heart of her yearning is exceeded only by the evil of fulfillment. (loc. 2659) Even her waking dreams we used—to silence our own nightmares. And she let us, and thereby deserved our contempt. We honed our egos on her, padded our characters with her frailty, and yawned in the fantasy of our strength. (loc. 2676)The sad fate of Pecola:We substituted good grammar for intellect; we switched habits to simulate maturity; we rearranged lies and called it truth, seeing in the new pattern of an old idea the Revelation and the Word. She, however, stepped over into madness, a madness which protected her from us simply because it bored us in the end. (loc. 2680)A beautiful, sad ending:And Cholly loved her. I’m sure he did. He, at any rate, was the one who loved her enough to touch her, envelop her, give something of himself to her. But his touch was fatal, and the something he gave her filled the matrix of her agony with death. Love is never any better than the lover. Wicked people love wickedly, violent people love violently, weak people love weakly, stupid people love stupidly, but the love of a free man is never safe. There is no gift for the beloved. The lover alone possesses his gift of love. The loved one is shorn, neutralized, frozen in the glare of the lover’s inward eye. (loc 2683)This book should probably be considered post-modern in the sense that the narration moves from character to character and it is up to the reader to intuit the speaker and the time at which the action is happening. True love as represented by the blue eyes and blond hair seen in the movies frequented by Frieda and Claudia as well as Pauline and most of all, Pecola, is as inaccessible as their parents' understanding leading them to either steel themselves against feeling like their mothers have or go insane:Pauline: ""It would be for her the well-spring from which she would draw the most destructive emotions, deceiving the lover and seeking to imprison the beloved, curtailing freedom in every way.""As Wright and Ellison had described as well, life in the North was not a safehaven free from racism. Cholly was just as invisible in Ohio as he would have been in Mobile. The White ticket counter is still forbidden him when he buys his ticket to see his father. His Aunt and the women that raised him ""ran the house of white people, and knew it. When white men beat their men, they cleaned up the blood and went home to receive abuse from the victim.""The cycle of violence feeds on itself leading to tragic consequences for each of the characters.In today's amerikkka of immigration quotas, race-baiting, and continued white police-on-black violence, The Bluest Eye still remains as relevant today as when Toni Morrison published it in 1970 - 23 years before 1993, the year she was justly awarded the Nobel Prize for Literature. It really is a must read.Fino's Toni Morrison Reviews:The Bluest EyeSulaSong Of SolomonTar BabyBelovedJazzParadiseShow more"
https://www.goodreads.com/user/show/1258751-thu,The Bluest Eye,Rating 5 out of 5,"June 26, 2008",336 likes,0,"When we finished this book, about half the class--- including me--- were infuriated at Morrison for humanizing certain characters that caused Pecola to suffer the most. ""Is she saying what they did was okay?! Is she telling us they weren't to blame and we should feel sorry for them?!"" I remember writing my ""objective"" and ""tone-neutral"" in-class essay while trying to stifle my own feelings of resentment. I know now that the answers to those two questions were no and no. What Morrison wanted us to do was not pardon the terrible acts of her characters, or brush them off as ""simply tragedy"" but to understand where these characters came from psychologically, and what made them the the way they are. People are driven by motivations, sometimes selfless, sometimes self-serving, and sometimes cruel. When I think about this now, I'm absolutely floored. I don't think any work of fiction has ever taught me this huge a lesson about human nature than this one. Morrison is a brilliant writer and this will probably always be one of my favorite novels.Show more"
https://www.goodreads.com/user/show/193310-brian,The Bluest Eye,Rating 4 out of 5,"August 7, 2019",260 likes,0,"well, i'm experiencing severe bookface fatigue and wasn't gonna report on this until i read this cool-as-shit bookster's review:http://www.goodreads.com/user/show/36813she checked out the reviews on amazon for the bluest eye and listed some excerpts:""Toni Morrison is the most overrated author in America, it's only because of Oprah (the most overrated ""personality"" in America"") that she is popular."" ""You know, I know blacks have had a hard time in this world...I'm not naive...but there's a right and wrong way to tell us about your problems. This book is an example of the wrong way. To me it came off as preachy and heavy-handed."" ""Once again, Toni Morrison puts an assortment of diatribes and racial angst into book form and masquerades it as literature with a moral message."" ""What is actually between the covers of the book is 150 pages of the gross aspects of sex and femine hygene. That is not what makes brillant writing."" ""The Bluest Eye does not celebrate the beauty of the black individual but instead simply and grotesquely trashes white characteristics (i.e. blonde-straight hair/blue eyes.) So if a little blonde-haired blue-eyed girl reads this book is she supposed to feel ashamed to have these characteristics?"" ""I think it's terrible that Oprah Winfrey would recommend a book as anti-white as this. It's not as bad as some ""black"" literature that blames everything on white people, but it's close."" people are dicks. yeah, not too controversial. genocide and war and rape and stalin and the crusades and inquisition and blah fucking blah. yeah, i know. we also have amnesty international and the sistine chapel and mexican food and rosario dawson. but you read the above and kinda wish that the fear and war-mongerers are right and that iran would just nuke out the whole planet. ahem... anyway. i'm not here to answer the jackass prickfucks who find the bluest eye to be racist or 'anti-white' or a 'masquerade'... they're just idiots. it's this whole oprah thing. i mean... these are the same kinds of fools who get very smug and happy attacking the literary canon while sucking off equally canonized 'outsiders' such as hunter thompson, thomas pynchon, DFW, etc... (writers i enjoy but have no illusion that they're any more the outsider than is john updike) -- in other words: people who feel it's any different to deliberately swim against the stream as it is to swim with it. so. all you haters of oprah's bookclub. a favor. please. just SHUT UP ALREADY. or is it just so irritating that oprah put leo tolstoy on the nytimes best seller list? and faulkner? and garcia marquez? yeah, that's some evil shit. i mean, getting hockey moms to read the road rather than some shit with fabio on the cover (sorry hockey moms) has gotta be up there with the alien and sedition act in terms of evils perpetrated on the good citizens of this country.Show more"
https://www.goodreads.com/user/show/2990642-rowena,The Bluest Eye,Rating 5 out of 5,"June 24, 2016",250 likes,0,"""Being a minority in both caste and class, we moved about anyway on the hem of life, struggling to consolidate our weaknesses and hang on, or to creep singly up into the major folds of the garment. Our peripheral existence, however, was something we had learned to deal with--probably because it was abstract.""- Toni Morrison, The Bluest EyeI'm rereading Morrison's books in chronological order in 2016 and I created a private group here on Goodreads for a few of us who are interested in doing the same thing. Discussing this book with others has been very interesting because we all have different perspectives and can share them, expanding our own understanding of the book, it's been a great experience.It's been four years since I first read The Bluest Eye and I was extremely touched and saddened by it the first time around. I count it as one of my favourite Morrison books and I'm glad to say that after a reread it's still very much so. I'm trying hard to find the words to describe how I feel about this book and it's still hard because it's a gut-wrenching book which I love, though ""love"" sounds like the wrong word for it: how can I love a book that is filled with so much pain, sadness and grief? This book condenses so much tragedy, despair and sadness in a relatively small space. What do you focus on? It can get a bit overwhelming. Morrison's advice seems to be:  ""There is really nothing more to say--except why. But since why is difficult to handle, one must take refuge in how.""Whenever I discuss this book with people I know, Pecola is often the first name that comes up. Pecola, the poor, unloved child who prayed for blue eyes. It was hard not to draw comparisons between her and Celie (The Colour Purple), another abused black girl who was called ugly by all those around her. And I think of all the little black girls I've known who hated being black, who hated their hair, their noses, their eye colour, who prayed for ""good hair"", lighter skin complexion etc.Morrison shows the vulnerability of children so well, and the consequences of parents not telling them what they need to know in enough detail, which results in them being forced to draw conclusions on their own. What they aren't told, they glean from observations and discussions with each other. Sometimes the truth isn't known until they are older:  ""My mother's anger humiliates me; her words chafe my cheeks, and I am crying. I do not know that she is not angry at me, but at my sickness.""There are so many parts of the book that show children as voiceless, black children in particular. There's the issue of representation and how the white dolls our parents thought we wanted probably did more harm than good. I think this is an important book in revealing the other America. My book had an afterword by Morrison which I'm so glad I read. I had no idea that this book was inspired by a conversation she'd had with an elementary school friend who prayed for blue eyes. It's conversations like this that never leave you, it seems, but it might take you until you are an adult to understand the true meaning of what those words held and what they say about our society. Like Malcolm X asked, ""Who taught you to hate yourself from the top of your head to the soles of your feet?""  ""And twenty years later I was still wondering about how one learns that. Who told her? Who made her feel that it was better to be a freak than what she was? Who had looked at her and found her so wanting, so small a weight on the beauty scale?...I focused, therefore, on how something as grotesque as the demonization of an entire race could take root inside the most delicate member of society: a child; the most vulnerable member: a female.""- Toni Morrison, The Bluest Eye afterwordShow more"
https://www.goodreads.com/user/show/124132123-lisa-of-troy,The Bluest Eye,Rating 3 out of 5,"May 13, 2024",237 likes,1 comment,"Toni Morrison stole my thunder! She says it best about The Bluest Eye.“If happiness is anticipation with certainty, we were happy.”Set in Loraine, Ohio in 1941, young girls, Claudia and Frieda MacTeer welcome an 11-year-old girl, Pecola Breedlove into their home. Pecola is temporarily sheltering with the MacTeer family while her father is in jail.“Each night, without fail, she prayed for blue eyes.”“He laughed the grown-up getting-ready-to-lie laugh.”The last half of the book presents the backstory of Pauline Williams (Mrs. Breedlove), Cholly Breedlove, and Mr. Henry.Who-eee! Sumptuous and majestic, Toni Morrison’s prose is like running your hand through stardust. Her prose is astoundingly sophisticated, whipped smooth—a phenomenon of a debut novel. The first half of the book is an electric triumph, a richly insightful tale of a cruel and broken world balanced with humor and the excitement of anticipation and hope. Unfortunately, the spell was broken in the last half of the book. While the bits of stardust still lingered, the enchantment was waning.To step back for just a moment, The Bluest Eye starts off with Claudia MacTeer’s first person narrative and shifts into a third person omniscient voice. Ugh! This did not work well.How does an author decide which parts of a story to include? To a certain extent, it boils down to personal choice.My personal philosophy closely alights with Philip Pullman, and he wrote a really great article that fits nicely here. In the essay, “The Path Through the Wood,” Pullman likens writing to a path through the woods. The danger is that authors might be tempted to get lost in world building (“the forest”). The idea is that when authors leave the path (stop moving the plot forward), readers lose interest.In The Bluest Eye, Morrison wants to build up her world by focusing on multiple characters. Because she casts the net wide, she can’t go deep, and the stories would have otherwise been stronger.At the same time, it is admirable that Morrison attempts to show the complexities of her characters. Cholly Breedlove isn’t merely a “baddie”; he is a nuanced character—a victim of trauma suffering abandonment and alienation.In another essay by Pullman, “The Writing of Stories”, he talks about where the author puts the camera, whose voice do we hear. Morrison’s indecision in selecting a narrative voice is amateurish and confusing.All that to say….You don’t have to take my word for it!Here is Toni Morrison:My solution—break the narrative into parts that had to be reassembled by the reader—seemed to me a good idea, the execution of which does not satisfy me now. Besides, it didn’t work; many readers remain touched but not moved.The Green Light at the End of the Dock (How much I spent):Softcover Text - $11.75 from AmazonAudiobook – Free through LibbyConnect With Me!Blog Twitter BookTube Facebook InstaShow more"
https://www.goodreads.com/user/show/1381728-maxwell,The Bluest Eye,Rating 3 out of 5,"February 25, 2015",217 likes,1 comment,"3.5/5 starsI found The Bluest Eye to be structurally disjointed but fluidly written. Each sentence bled into the next, urging the reader to press on amidst a heartbreaking, convicting story of rejection, self-loathing, and ultimately, complete violation. It's not easy, or particularly enjoyable, to read. But Morrison cracks open this sort of taboo topic, choosing to highlight a character whose story often goes untold: that of an ugly, black girl. But Pecola, our main character, doesn't even get to tell her own story. The novel breaks down into seasons, starting with Autumn, and is narrated by a neighbor girl and her sister. As the story progresses, we get backstories on major characters: Pecola's mother, father, and various people in their hometown of Lorain, Ohio.While I loved the prose--there's no denying Morrison's skill with words, especially as this is her first novel--I found myself having trouble fully engaging in the story. As Pecola's story unfolds, we realize that she is helpless to deal with the pain she is going through, and she internalizes it. She isn't even helped by the people in her life who should be able to help her, because they have their own pain to deal with. This isolation Pecola feels kept me at a distance from her, combined with the fact that we don't get to hear from Pecola herself at all. And by the end I was a bit let down. During the afterword of the novel, written by Morrison herself, she says regarding the structure, ""My solution--break the narrative into parts that had to be reassembled by the reader--semed to me a good idea, the execution of which does not satisfy me now. Besides, it didn't work: many readers remained touched but not moved.""I think, therein, lies my exact problem with this book. That isn't to say that this book isn't worth reading, or that it doesn't achieve anything that it sets out to achieve. Instead, I felt so detached and confused by the structuring of the story, that I missed out on the emotion that was being expressed.It's an excellent novel, nonetheless, but it's also a first one; I anticipate in reading more of Morrison, I will grow to understand her writing, as I often do in reading more from the works of an author. And I would argue, as many people recommended to me, it's a good place to start with Morrison.Show more"
https://www.goodreads.com/user/show/27788046-sean-barrs,The Bluest Eye,Rating 1 out of 5,"June 20, 2018",194 likes,3 comments,"I’ve read a lot of fucked things in literature, though it is extremely rare that I read something so messed up that it makes me hate the book.It takes a lot to put me off. I read Lolita without any complaints about the paedophilia because sometimes it is necessary to show despicable things in order to create art. I’ve read stage pieces by Sarah Kane which involve genital mutilation and all sorts of brutal sex acts, but, again, it was necessary for the piece. Shakespeare’s Titus Andronicus  centres on a very brutal rape, that much so that people fainted when it was performed (and that was in 2014 at Shakespeare’s Globe in London), though it was needed for the nature of the revenge plot.  However, sometimes the brutality can be a little too much. This book contains an explicit child rape scene and vivid animal cruelty. Granted, you could make the same argument to defend The Bluest Eye as I did for the texts I mentioned above though, for me, it was just too awful to read. The scenes held absolutely nothing back. I am not a person easily shocked or put off by such things, though it was too much even for me.  The Republic of Wine is the only other book to make me feel this unnerved (because of baby cannibalism.) It made me want to vomit as the writing here did. The Bluest Eye was way too much for me. It was overly symbolic, melodramatically brutal and displayed no hope or optimism. I did not enjoy a single page.Show more"
https://www.goodreads.com/user/show/43107057-read-by-rodkelly,The Bluest Eye,Rating 5 out of 5,"January 22, 2019",189 likes,0,"Here is the little black girl. She has dreams and a fertile imagination. She is a potential conduit for excellence in the world. But she is the inheritor of pathological trauma that is centuries old. She is born to parents who are too busy licking their wounds and tending to their own pain to extend anything resembling love in her direction. So she believes she is unlovable, and is subsequently rendered invisible and therefore a perfect target to absorb the abuses of a society of self-hating, oppressed people who need to pour their sorrows into the vessel with the most cracks: the innocent (in their eyes, contemptible) black girl. Never realizing that people who don't love themselves can never love anybody else. So her cracks multiply and she breaks apart and spills over and she gets blamed for not being pristine by the very people who broke her. ""This soil is bad for certain kinds of flowers. Certain seeds it will not nurture, certain fruit it will not bear, and when the land kills of its own volition, we acquiesce and say the victim had no right to live. We are wrong, of course, but it doesn't matter. It's too late.""Show more"
