state,abbr,ansi_fips,total_districts,total_schools,total_charters,prek,kinder,grade01-08,grade09-12,grade13,ungraded,amerin_aknative,asian_apisland,hispanic,bk_aa,white,hi_pi,two_plus,students,teachers,st_ratio
ALABAMA,AL,1,155,1516,17,23238,57177,448419,222089,†,†,6256,11083,79069,238400,389358,843,25914,750923,42021.62,17.87
ALASKA,AK,2,54,498,32,3111,9639,79060,38913,†,†,28259,6482,9844,2945,61637,4010,17546,130723,7160.48,18.26
AMERICAN SAMOA,AS,60,1,29,†,–,–,–,–,†,†,–,–,–,–,–,–,–,–,–,–
ARIZONA,AZ,4,685,2429,576,18982,76147,667745,368829,†,520,47816,34840,538890,64326,395129,4145,47077,1132223,49565.89,22.84
ARKANSAS,AR,5,300,1098,103,16551,35609,292252,148457,†,261,2899,8711,70048,95788,289783,4956,20945,493130,38814.62,12.7
BUREAU OF INDIAN EDUCATION,BI,59,174,174,†,–,3181,23637,9874,†,†,36692,0,0,0,0,0,0,36692,2947.62,12.45
CALIFORNIA,CA,6,2114,10327,1284,–,495741,3419610,1936526,†,†,‡,‡,‡,‡,‡,‡,‡,5851877,267658.51,21.86
COLORADO,CO,8,272,1932,269,32205,58675,500161,279830,†,†,5427,28471,307259,40040,442557,2639,44478,870871,53552.5,16.26
CONNECTICUT,CT,9,209,1013,21,19014,34821,294757,164921,†,†,1283,26447,154073,64421,243359,507,22905,513513,44006.87,11.67
DELAWARE,DE,10,45,229,23,2282,9707,84342,45134,†,†,579,6077,26872,43137,57288,213,7299,141465,9991.22,14.16
DISTRICT OF COLUMBIA,DC,11,71,244,126,11866,7262,50442,21181,†,250,131,1322,16186,58257,12030,52,2963,91001,8052.21,11.3
FLORIDA,FL,12,80,4230,740,63311,198326,1714826,894064,†,†,6769,81036,1044109,601319,1014176,5043,118075,2870527,156787.43,18.31
GEORGIA,GA,13,245,2316,97,49087,121437,1034524,545924,†,†,3729,81425,316754,637800,628275,1831,81158,1750972,121301.1,14.43
GUAM,GU,66,5,45,4,–,–,–,–,†,†,–,–,–,–,–,–,–,–,–,–
HAWAII,HI,15,1,295,37,1575,12395,103823,51961,†,455,247,41935,31188,2293,19027,43502,32017,170209,11983.69,14.2
IDAHO,ID,16,186,795,77,3720,22053,192446,99336,†,†,3157,3539,61258,3562,234328,1058,10653,317555,18120.62,17.52
ILLINOIS,IL,17,1033,4408,134,76302,121340,1058835,595765,†,†,4569,101525,508906,304621,851489,1797,77716,1852242,135363.07,13.68
INDIANA,IN,18,442,1921,121,22798,74121,611569,325663,†,1957,1759,29771,145546,135584,665931,1039,56478,1036108,65596.59,15.8
IOWA,IA,19,337,1327,4,29577,37705,287673,156342,†,†,1644,12741,63928,34521,370440,2917,24847,511297,36138.08,14.15
KANSAS,KS,20,338,1355,9,24423,33261,280540,146266,†,3488,3585,13754,104825,32744,301935,1141,29994,487978,37885.25,12.88
KENTUCKY,KY,21,176,1542,†,25985,48438,383867,201095,†,644,864,13130,58131,70653,482221,1129,33901,660029,43022.55,15.34
LOUISIANA,LA,22,194,1337,150,25650,53248,426472,212772,3,†,4053,11514,76396,298685,301421,600,25476,718145,41110.05,17.47
MAINE,ME,23,277,597,13,6254,12011,100141,55447,†,†,1454,2403,5552,7615,150684,178,5967,173853,15192.39,11.44
MARYLAND,MD,24,25,1410,48,30718,60986,521772,276484,†,†,2416,59963,195349,291367,292746,1256,46375,889960,62236.47,14.3
MASSACHUSETTS,MA,25,423,1837,76,31037,61711,535242,292428,–,2931,2165,67337,222604,86503,501645,800,40636,923349,76977.64,12
MICHIGAN,MI,26,892,3510,378,46170,113864,817447,452438,†,3995,8430,50863,127418,259823,912605,1203,73572,1433914,85879.91,16.7
MINNESOTA,MN,27,581,2690,300,23827,61370,503974,280848,†,†,14951,60856,94935,101896,542298,961,54122,870019,56123.8,15.5
MISSISSIPPI,MS,28,152,1038,8,8340,32893,261847,130037,†,7168,958,4946,20950,206903,187500,301,18727,440285,33767.64,13.04
MISSOURI,MO,29,565,2473,82,35181,62187,521540,273338,†,†,3280,18740,71015,135335,611514,3608,48754,892246,69837.57,12.78
MONTANA,MT,30,480,826,†,920,12490,91945,45378,†,†,15715,988,8829,1055,116708,280,7156,150733,11035.53,13.66
NEBRASKA,NE,31,278,1092,†,19511,22921,187830,98972,†,†,4284,9840,69628,21579,208391,520,14992,329234,23910.92,13.77
NEVADA,NV,32,20,748,101,11858,31951,287208,152052,†,1123,3716,26621,213726,59183,137398,7170,36224,484192,23076.46,20.98
NEW HAMPSHIRE,NH,33,212,502,40,4399,11087,99213,54142,68,†,367,5140,11726,3529,140101,137,7909,168909,14731.4,11.47
NEW JERSEY,NJ,34,698,2562,85,71749,85983,753295,408963,†,63840,2748,141511,458302,203181,533258,2950,41193,1383830,117661.34,11.76
NEW MEXICO,NM,35,152,890,101,10018,20719,182632,101654,†,†,32366,3935,199786,5598,65511,383,7444,315023,21571.55,14.6
NEW YORK,NY,36,1104,4812,342,76715,172030,1459789,783223,†,41131,18642,252056,739704,400490,1023173,5827,92225,2532888,215761,11.74
NORTH CAROLINA,NC,37,354,2716,206,22539,111183,924526,481741,1733,0,16214,61664,314590,382022,678903,2174,86155,1541722,99979.81,15.42
NORTH DAKOTA,ND,38,220,511,†,2955,9241,72132,34185,†,†,9707,1646,7723,6302,87322,332,5476,118513,9581.08,12.37
NORTHERN MARIANAS,MP,69,1,35,†,434,465,5287,3108,†,76,2,3136,108,16,38,5411,657,9370,533,17.58
OHIO,OH,39,1056,3632,334,44585,119254,981244,535556,†,†,2204,47491,123226,282459,1120031,1660,103568,1680639,102322.67,16.42
OKLAHOMA,OK,40,596,1781,63,37840,50030,408837,204594,†,†,78568,15904,138993,55164,318745,3101,90607,701301,42124.4,16.65
OREGON,OR,41,222,1286,132,–,37026,332133,183221,†,†,6505,22153,139543,12948,324090,4626,39738,552380,30906.33,17.87
PENNSYLVANIA,PA,42,787,2936,177,8552,117197,1015602,551996,†,–,3072,75704,242486,244727,1039214,1440,86704,1693347,127037.02,13.33
PUERTO RICO,PR,72,1,858,10,2430,15273,141779,82086,†,9100,112,29,249738,64,713,12,0,250668,24096,10.4
RHODE ISLAND,RI,44,68,316,41,3120,9432,80364,44533,†,†,1027,4488,40369,12334,71776,196,7017,137449,10785.53,12.74
SOUTH CAROLINA,SC,45,96,1264,88,26944,54526,467298,240463,†,†,2201,13774,100329,249346,377133,963,45421,789231,55946.58,14.11
SOUTH DAKOTA,SD,46,166,720,†,3358,12097,84397,42036,†,†,14827,2274,11294,4626,100524,190,8153,141888,10261.46,13.83
TENNESSEE,TN,47,148,1900,114,32769,74730,598342,300911,†,†,1650,20229,139706,207860,591111,1083,45113,1006752,65780.77,15.3
TEXAS,TX,48,1236,9180,1039,269441,367641,3213776,1668741,†,0,17980,280772,2921858,707086,1416600,8719,166584,5519599,373332.35,14.78
U.S. VIRGIN ISLANDS,VI,78,2,21,†,133,700,6041,3292,†,†,10,70,2032,7892,132,1,29,10166,888,11.45
UTAH,UT,49,162,1102,140,16523,46679,413904,214800,†,†,6636,11751,135877,9213,493295,11419,23632,691906,31163.98,22.2
VERMONT,VT,50,186,305,†,7882,5432,45956,24384,†,†,212,1716,2603,2139,73734,86,3164,83654,7933.86,10.54
VIRGINIA,VA,51,213,2132,7,34166,86364,739324,400497,†,†,3279,94831,236141,272673,567343,1980,84104,1260351,92651,13.6
WASHINGTON,WA,53,340,2549,16,21595,78058,641760,348814,†,†,12156,94906,279405,52182,535720,15326,96280,1090227,63271.68,17.23
WEST VIRGINIA,WV,54,64,684,4,14652,17302,142370,76900,†,†,193,1652,5517,10281,222613,125,10843,251224,18669.66,13.46
WISCONSIN,WI,55,468,2235,239,50612,53432,456369,262627,†,†,8477,34707,111822,71909,552802,639,42330,823040,60011.17,13.71
WYOMING,WY,56,59,361,5,740,6796,55780,29151,†,†,2888,602,13584,769,71006,139,3479,92467,7312.03,12.65
