agency,state,abbr,ID,unionID,total_schools,type,status,low_grade,high_grade,students,teachers,ratio
21ST CENTURY CHARTER SCH OF GARY,Indiana,IN ,1800046,    ,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1337,115.00,11.63
21ST CENTURY CYBER CS,Pennsylvania,PA ,4200091,    ,1,7-Independent Charter District,1-Open,6th Grade,12th Grade,1239,58.45,21.20
21ST CENTURY PUBLIC ACADEMY,NEW MEXICO,NM ,3500187,    ,1,7-Independent Charter District,1-Open,1st Grade,8th Grade,393,29.70,13.23
A E R O  SPEC EDUC COOP,Illinois,IL ,1700024,    ,8,9-Specialized public school district,1-Open,†,†,†,63.00,–
A W BEATTIE CAREER CENTER,Pennsylvania,PA ,4280010,    ,1,9-Specialized public school district,1-Open,9th Grade,12th Grade,6,33.00,0.18
A W BROWN LEADERSHIP ACADEMY,Texas,TX ,4800095,    ,2,7-Independent Charter District,1-Open,Prekindergarten,8th Grade,975,52.23,18.67
A+ ACADEMY,Texas,TX ,4800203,    ,2,7-Independent Charter District,1-Open,Prekindergarten,12th Grade,1588,90.95,17.46
A+ ARTS ACADEMY,Ohio,OH ,3900305,    ,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,401,28.00,14.32
A+ CHARTER SCHOOLS (1000166),ARIZONA,AZ ,400998,    ,1,7-Independent Charter District,1-Open,7th Grade,12th Grade,268,–,–
A+ CHILDREN'S ACADEMY,Ohio,OH ,3901480,    ,1,7-Independent Charter District,1-Open,Kindergarten,5th Grade,96,9.00,10.67
A+ UNLIMITED POTENTIAL,TEXAS,TX ,4801453,    ,1,7-Independent Charter District,1-Open,6th Grade,8th Grade,156,11.00,14.18
A-C CENTRAL CUSD 262,Illinois,IL ,1700105,    ,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,344,40.30,8.54
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,Virginia,VA ,5100033,    ,1,9-Specialized public school district,1-Open,†,†,†,†,†
A.C.E. ACADEMY,North Carolina,NC ,3700372,    ,1,7-Independent Charter District,1-Open,Kindergarten,8th Grade,419,24.69,16.97
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,MN ,2700106,    ,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,851,68.35,12.45
ABBEVILLE 60,South Carolina,SC ,4500690,    ,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2864,222.30,12.88
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,WI ,5500030,    ,2,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,798,48.88,16.33
ABBOTT ISD,Texas,TX ,4807380,    ,1,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,286,25.39,11.26
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,MA ,2500051,    ,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,1422,119.61,11.89
ABC UNIFIED,California,CA ,601620,    ,31,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,18354,810.83,22.64
ABERDEEN DISTRICT,Idaho,ID ,1600030,    ,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,673,49.17,13.69
ABERDEEN SCHOOL DIST,Mississippi,MS ,2800360,    ,3,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,998,86.14,11.59
ABERDEEN SCHOOL DISTRICT,Washington,WA ,5300030,    ,13,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,3304,204.29,16.17
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,SD ,4602070,    ,10,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,4326,303.07,14.27
ABERNATHY ISD,Texas,TX ,4807410,    ,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,835,71.84,11.62
ABILENE,Kansas,KS ,2003180,    ,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,1515,93.82,16.15
ABILENE ISD,Texas,TX ,4807440,    ,28,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,15253,1035.97,14.72
ABINGDON-AVON CUSD 276,Illinois,IL ,1701413,    ,4,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,903,68.50,13.18
ABINGTON,Massachusetts,MA ,2501650,    ,5,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Prekindergarten,12th Grade,2177,153.85,14.15
ABINGTON HEIGHTS SD,Pennsylvania,PA ,4202010,    ,6,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,3474,209.00,16.62
ABINGTON SD,Pennsylvania,PA ,4202040,    ,9,1-Regular local school district that is NOT a component of a supervisory union,1-Open,Kindergarten,12th Grade,8543,592.15,14.43
ABQ SCHOOL OF EXCELLENCE,New Mexico,NM ,3500122,    ,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,910,50.76,17.93
ABQ SIGN LANGUAGE ACADEMY,New Mexico,NM ,3500123,    ,1,7-Independent Charter District,1-Open,Kindergarten,12th Grade,125,18.00,6.94
